# This file contains the dates and times of storm periods for lightning nowcasting. 
date,start_time,end_time
# lightning days 2024
2024-05-23,13:00,23:00
2024-05-25,20:30,23:30
2024-05-26,11:00,21:00
2024-05-27,05:00,18:00
2024-05-28,13:00,20:00
2024-05-30,15:00,20:00
2024-05-31,14:30,20:00
2024-06-01,08:00,17:30
2024-06-02,15:00,22:00
2024-06-06,11:30,20:30
2024-06-09,11:30,20:30
2024-06-10,15:00,22:00
2024-06-12,06:00,21:30
2024-06-18,01:00,20:30
2024-06-19,09:00,16:30
2024-06-27,18:00,23:30
2024-06-28,00:10,03:30
2024-07-03,16:00,19:00
2024-07-06,19:30,23:50
2024-07-07,00:10,03:00
2024-07-08,12:30,19:30
2024-07-13,15:30,23:50
2024-07-14,00:00,01:10
2024-07-23,14:30,18:00
2024-07-24,00:10,06:30
2024-07-27,07:00,23:50
2024-08-04,03:30,17:00
2024-08-07,14:00,23:50
2024-08-09,11:30,16:30
2024-08-25,13:00,16:00
2024-08-26,05:00,09:00
2024-08-29,09:30,16:30
2024-08-30,11:00,15:00
# lightning days 2023
2023-05-13,00:00,10:00
2023-05-14,17:00,18:00
2023-05-15,09:00,17:00
2023-06-15,09:00,19:00
2023-06-16,10:00,17:00
2023-06-17,16:00,18:00
2023-06-26,12:00,16:00
2023-06-27,09:00,19:00
#2023-06-30,13:00,19:30 No Hurum radar data
2023-07-02,06:00,18:00
2023-07-03,13:00,16:30
2023-07-04,10:00,17:00
2023-07-06,07:00,16:30
2023-07-07,16:00,19:30
2023-07-13,12:00,16:00
2023-07-15,20:00,22:30
2023-07-17,11:30,15:30
2023-07-20,11:30,18:30
2023-07-21,09:30,17:30
2023-07-22,07:30,12:30
2023-07-25,13:30,18:30
2023-07-30,10:30,15:00
2023-07-31,09:00,12:00
2023-08-02,13:30,19:30
2023-08-03,13:00,18:30
2023-08-04,10:00,17:30
2023-08-05,10:00,18:30
2023-08-07,06:30,11:30
2023-08-15,19:00,22:00
2023-08-16,16:00,19:00
2023-08-22,15:00,18:00
2023-08-23,11:00,17:00
2023-08-28,13:00,18:00
# lightning days 2022
2022-05-13,13:30,15:30
2022-05-25,11:00,14:00
2022-05-26,14:00,18:00
2022-05-30,07:30,13:30
2022-05-31,12:30,14:30
2022-06-01,09:00,12:00
2022-06-07,14:30,16:30
2022-06-11,09:00,20:00
2022-06-12,08:30,18:30
2022-06-13,14:30,18:30
2022-06-15,17:00,20:00
2022-06-16,10:00,21:00
#2022-06-26,08:30,20:30 No Hurum radar data
#2022-06-27,06:30,23:50 No Hurum radar data most of the day
2022-07-04,09:00,16:00
2022-07-13,08:00,14:00
2022-07-22,04:00,09:00
#2022-08-03,09:30,11:30
2022-08-15,12:30,23:50
2022-08-16,00:10,20:00
2022-08-21,16:00,19:00
